rrId,price,currency,lastUpdated
INFRA_1.2.03A,596.00,EUR,2026-01-01
INFRA_1.2.03B,745.00,EUR,2026-01-01
INFRA_1.2.03C,298.00,EUR,2026-01-01
INFRA_1.2.03D,3725.00,EUR,2026-01-01
INFRA_1.2.06,596.00,EUR,2026-01-01
INFRA_1.2.08,447.00,EUR,2026-01-01
INFRA_1.8.10,596.00,EUR,2026-01-01
INFRA_1.8.10A,18.10,EUR,2026-01-01
INFRA_1.8.02A,745.00,EUR,2026-01-01
INFRA_1.11.02A,1192.00,EUR,2026-01-01
HANA_1.1.35,6407.00,EUR,2026-01-01
TO_HANA_MDC_1.2.06,670.50,EUR,2026-01-01
TO_HANA_PM_1.1.01A,4619.00,EUR,2026-01-01
DB_1.1.26_S,2235.00,EUR,2026-01-01
DB_1.1.26_M,3576.00,EUR,2026-01-01
DB_1.1.26_L,5811.00,EUR,2026-01-01
BASIC_1.8.25_A,7152.00,EUR,2026-01-01
BASIC_1.8.25_B,4768.00,EUR,2026-01-01
BASIC_1.8.25_C,13112.00,EUR,2026-01-01
BASIC_1.8.25_D,3576.00,EUR,2026-01-01
BASIC_1.8.25_E,10728.00,EUR,2026-01-01
BASIC_1.8.25_F,1490.00,EUR,2026-01-01
BASIC_1.8.25_G,5960.00,EUR,2026-01-01
BASIC_1.8.03A,7152.00,EUR,2026-01-01
BASIC_1.8.20A,7152.00,EUR,2026-01-01
BASIC_1.8.20B,1788.00,EUR,2026-01-01
BASIC_1.8.20D,1192.00,EUR,2026-01-01
BASIC_1.8.20E,6556.00,EUR,2026-01-01
BASIC_1.8.20_HC_HS,17880.00,EUR,2026-01-01
BASIC_1.8.20_NPA,6600.70,EUR,2026-01-01
BASIC_1.8.20_SRA1,749.47,EUR,2026-01-01
BASIC_1.8.20_SRA2,1999.58,EUR,2026-01-01
BASIC_1.8.13,1788.00,EUR,2026-01-01
BASIC_1.8.13A,745.00,EUR,2026-01-01
BASIC_1.3.10B1,1788.00,EUR,2026-01-01
BASIC_1.3.10D,2384.00,EUR,2026-01-01
BASIC_1.5.11,7450.00,EUR,2026-01-01
BASIC_1.9.10,1490.00,EUR,2026-01-01
BASIC_1.9.09,2980.00,EUR,2026-01-01
BASIC_1.9.12,1192.00,EUR,2026-01-01
MOVE_1.3.04,8046.00,EUR,2026-01-01
MOVE_1.3.04_HCM,5215.00,EUR,2026-01-01
BASIC_1.5.20,11324.00,EUR,2026-01-01
BASIC_1.5.20A,1192.00,EUR,2026-01-01
BASIC_1.5.20_HCM,7450.00,EUR,2026-01-01
MOVE_1.7.01,6705.00,EUR,2026-01-01
MOVE_1.7.02,9685.00,EUR,2026-01-01
TO_DBAAS_1.3.07,4470.00,EUR,2026-01-01
TO_DBAAS_1.5.15,6407.00,EUR,2026-01-01
TO_PA_1.3.02,745.00,EUR,2026-01-01
TO_DS_1.1.26,894.00,EUR,2026-01-01
TO_DS_1.1.27,894.00,EUR,2026-01-01
TO_BI_1.1.33,894.00,EUR,2026-01-01
TO_BI_1.1.34,894.00,EUR,2026-01-01
TO_SCC_1.1.11,447.00,EUR,2026-01-01
TO_LRP_1.1.08A,1639.00,EUR,2026-01-01
TO_GK_1.3.02,2235.00,EUR,2026-01-01
TO_GK_1.3.03,3725.00,EUR,2026-01-01
TO_BRIM_CC_1.2.03,1192.00,EUR,2026-01-01
TO_BRIM_CC_1.2.07,1192.00,EUR,2026-01-01
TO_BRIM_CC_1.2.08,1788.00,EUR,2026-01-01
TO_BRIM_CM_1.2.09,1192.00,EUR,2026-01-01
TO_BRIM_CM_1.2.13,1788.00,EUR,2026-01-01
TO_ETD_1.2.19,447.00,EUR,2026-01-01
TO_SDC_1.2.01,894.00,EUR,2026-01-01
TO_SDC_1.3.01,894.00,EUR,2026-01-01
TO_SDC_1.3.01A,1788.00,EUR,2026-01-01
TO_SDC_1.4.01A,1788.00,EUR,2026-01-01
TO_SCS_1.4.02,1192.00,EUR,2026-01-01
TO_TC_1.1.13,1490.00,EUR,2026-01-01
TO_TC_1.1.14,1192.00,EUR,2026-01-01
TO_TC_1.1.25B,894.00,EUR,2026-01-01
TO_TC_1.1.55,1937.00,EUR,2026-01-01
TO_TC_1.1.56,1937.00,EUR,2026-01-01
TO_TMVSI_AV_1.1.01,919.33,EUR,2026-01-01
HANA_1.1.47,14304.00,EUR,2026-01-01
TO_HANA_1.1.04,1788.00,EUR,2026-01-01
