rrId,description,category,isActive
INFRA_1.2.03,Move an existing system in a Customer landscape to new subnet for the purpose of network segregation,Network Management,true
INFRA_1.2.03A,Provision additional subnets,Network Management,true
INFRA_1.2.03B,Configure communication restrictions between production and non-production tiers,Network Management,true
INFRA_1.2.03C,Move existing virtual machine in a Customer landscape from non-zonal to zonal deployment - Azure only,Network Management,true
INFRA_1.2.03D,Prepare Customer landscape for zonal migration - Azure only,Network Management,true
INFRA_1.2.06,IP address migration - Change IP addressing of existing customer user-access network segment to new IP addressing,Network Management,true
INFRA_1.2.06_CE,IP address migration - Change IP addressing of existing customer user-access network segment to new IP addressing,General,true
INFRA_1.2.08,Migrate SAP domain (*.sap.biz) to customer domain or customer domain migration,Network Management,true
INFRA_1.8.10,On-demand backup / Extension of existing on-demand backup,Backup/Restore,true
INFRA_1.8.10A,On-demand backup - Storage - 100 GB,General,true
INFRA_1.8.02A,"Perform data restore and recovery (file system, database) on customer request (other reasons than as a response to system failures) - additional requests",General,true
INFRA_1.11.02A,Create and maintain sftp user accounts and groups - additional requests,File transfer capabilities: CIFS shares,true
HANA_1.1.35,Partition tables (technical execution) - additional requests,C1 - Database Management SAP HANA,true
HANA_1.1.45,Refresh test data,C1 - Database Management SAP HANA,true
TO_HANA_MDC_1.2.06,Backup of individual tenants,General,true
TO_HANA_MDC_1.2.07,Restore backup of individual tenant,General,true
TO_HANA_PM_1.1.01A,Convert non-Pacemaker System to Pacemaker based System,SAP ASE AFA - Other Services,true
DB_1.1.26,Shrink database,Database operations,true
DB_1.1.26_S,Shrink database less than 50 GB,General,true
DB_1.1.26_M,Shrink database 50 to 100 GB,General,true
DB_1.1.26_L,Shrink database 100 to 200 GB,General,true
DB_DB2_1.1.09,Reorganize Tables (Technical Execution) - Additional Requests,IBM Db2,true
DB_DB2_1.1.12,Create additional tablespace and/or table movement (Technical Execution),IBM Db2,true
BASIC_1.8.25,SAP system re-installation after system handover,System Installation,true
BASIC_1.8.25_A,"System Rebuild – NetWeaver and other DB based solutions (e.g. S/4HANA, SAP BW, CRM, BOBJ, etc. greenfield/Skelton)",System Installation,true
BASIC_1.8.25_B,"System Rebuild - Breakup_Small (non DB solutions e.g. DNS, Web Dispatcher, cloud Connector, etc.)",System Installation,true
BASIC_1.8.25_C,System Rebuild - Breakup_Solman (greenfield/brownfield),System Installation,true
BASIC_1.8.25_D,"System Rebuild - Breakup additional redo FIORI launchpad, TMS & Adobe setup",System Installation,true
BASIC_1.8.25_E,SAP Template Solution deployments after initial build,System Installation,true
BASIC_1.8.25_F,System Rebuild - GXP,System Installation,true
BASIC_1.8.25_G,System Rebuild - Breakup additional redo of Best Practice enablement OR EML/MC deployment,General,true
BASIC_1.8.03A,Integrate installed systems into cloud operations environment - additional test run requests,System Installation,true
BASIC_1.8.20,Provide special support to customer during onboarding - general,System Installation,true
BASIC_1.8.20A,Provide special support to customer during onboarding – Brownfield Post-Migration Downtime Optimization Service,System Installation,true
BASIC_1.8.20B,Provide special support to customer during Enterprise Cloud Services onboarding - SAP Migration Assisted Service,System Installation,true
BASIC_1.8.20D,Best Practice Activation for Additional Countries,General,true
BASIC_1.8.20E,Provide Special Support during customer onboarding – Solman Configuration/Enablement,General,true
BASIC_1.8.20_HC,Hypercare - project safeguarding service,System Installation,true
BASIC_1.8.20_HC_HS,Hypercare - Small Package (4 Week Service),General,true
BASIC_1.8.20_NPA,Active entitlement for Non-Productive Systems weekend support - initial system setup,System Installation,true
BASIC_1.8.20_SRA,Service Request Acceleration,System Installation,true
BASIC_1.8.20_SRA1,Service Request Acceleration 1: 5 Business Days  This Option does NOT cover weekend service requests.,General,true
BASIC_1.8.20_SRA2,Service Request Acceleration 2:  Working Day & Weekend  24/7 HRS,General,true
BASIC_1.8.13,Data handover from service provider to customer,System Installation,true
BASIC_1.8.13A,Data handover from service provider to customer - additional requests this service include just the HANA database backup or just for FS only,General,true
BASIC_1.3.10B1,Homogeneous system copy for ABAP systems - additional requests,SAP Infrastructure and Application Logging service (LogServ),true
BASIC_1.3.10D,Homogeneous system copy for non-ABAP systems - additional requests,SAP Infrastructure and Application Logging service (LogServ),true
BASIC_1.5.11,Implement updates or upgrades to the managed SAP business software - ABAP solution using Zero Downtime Option (ZDO) of SUM which is part of the Maintenance Downtime Minimization Service,Release Management,true
BASIC_1.9.10,"Execute failover during disaster recovery test (DB, application and cnames) - additional test",Certificate Handling,true
BASIC_1.9.09,Execute online disaster recovery tests (data center and technical system infrastructure only); primary systems remain accessible,Certificate Handling,true
BASIC_1.9.12,Mixed High Availability (HA)/Disaster Recovery (DR): Execute productive failover for a specific SID and invert replication vector - additional customer requests,Certificate Handling,true
BASIC_1.15.06,"Additional Service – Generic Service Request: Used for one-off tasks/services which are not covered by Standard, Optional and/or Cloud Application Services.",Certificate Handling,true
MOVE_1.3.04,Planning and coordination of the technical system conversion of SAP ERP and SAP BW systems to SAP S/4HANA and SAP BW4/HANA,Conversion Execution for ECC and BW system,true
MOVE_1.3.04_HCM,Planning and coordination of the technical system conversion to SAP HCM for S/4HANA (H4S4),General,true
BASIC_1.5.20,Technical System Conversion of SAP ERP and SAP BW systems to SAP S/4HANA and SAP BW4/HANA,Conversion Execution for ECC and BW system,true
BASIC_1.5.20A,(Re-)Enable Fiori Launchpad,General,true
